Medium Household Income,Zip Code
"60,413",99362
"22,188",97920
"40,469",97918
"42,582",97914
"48,556",97913
"52,222",97911
"52,813",97910
-,97909
"26,250",97908
"31,250",97907
"51,607",97906
"115,300",97905
"43,750",97904
-,97903
"44,063",97901
"52,500",97886
"50,990",97885
"40,000",97884
"54,130",97883
"48,491",97882
-,97880
"20,826",97877
"86,635",97876
"60,032",97875
"40,938",97874
"48,500",97873
"50,417",97870
"53,200",97869
"61,292",97868
"68,553",97867
"56,080",97865
"32,414",97864
"45,294",97862
-,97859
"47,206",97857
"45,750",97856
"51,230",97850
"52,500",97848
"59,985",97846
"42,051",97845
"63,387",97844
"70,833",97843
"38,000",97842
"73,750",97841
"135,500",97840
"38,542",97839
"64,579",97838
-,97837
"42,647",97836
"95,833",97835
"37,725",97834
"60,500",97833
"45,488",97830
"46,108",97828
"47,980",97827
"34,806",97826
"49,375",97825
"62,353",97824
"33,994",97823
"43,958",97820
"50,833",97819
"57,422",97818
-,97817
"49,961",97814
"65,428",97813
"56,154",97812
"50,250",97810
"60,830",97801
"35,333",97761
"64,722",97760
"77,351",97759
"25,625",97758
"66,120",97756
"56,035",97754
"106,641",97753
-,97752
"39,063",97751
"48,207",97750
"52,400",97741
"48,415",97739
"62,367",97738
"34,875",97737
"86,250",97736
-,97735
"60,795",97734
-,97733
"28,750",97732
"30,625",97731
"77,917",97730
"63,125",97722
"33,929",97721
"36,652",97720
-,97712
-,97711
-,97710
"69,775",97707
"69,140",97702
"74,338",97701
"33,472",97641
"50,455",97640
"31,366",97639
"53,971",97638
-,97637
"52,500",97636
-,97635
"55,208",97634
"45,933",97633
"57,198",97632
"51,311",97630
"64,397",97627
-,97626
"74,333",97625
"45,771",97624
"45,703",97623
"45,238",97622
-,97621
"26,354",97620
-,97604
"51,790",97603
"45,392",97601
"53,190",97544
-,97543
"40,694",97541
"44,012",97540
"43,824",97539
"48,995",97538
"52,960",97537
"36,065",97536
"38,427",97535
"21,269",97534
"56,272",97532
"45,813",97531
"87,254",97530
"49,744",97527
"49,906",97526
"57,823",97525
"69,825",97524
"35,792",97523
"40,833",97522
"58,590",97520
"62,219",97504
"54,204",97503
"72,650",97502
"48,865",97501
"50,527",97499
"54,167",97498
"33,333",97497
"46,488",97496
"92,132",97495
-,97494
"53,750",97493
"26,849",97492
"88,750",97490
"80,667",97489
"75,878",97488
"52,435",97487
"56,136",97486
"36,806",97484
"80,577",97481
"33,125",97480
"49,549",97479
"64,536",97478
"48,644",97477
"55,526",97476
"47,083",97473
"54,821",97471
"46,032",97470
"51,037",97469
"41,317",97467
"40,682",97466
"32,236",97465
"32,583",97463
"49,459",97462
"97,188",97461
"64,608",97459
"40,179",97458
"47,788",97457
"49,855",97456
"83,750",97455
"83,688",97454
"37,813",97453
"70,600",97452
"118,958",97451
"52,577",97450
"42,143",97449
"62,953",97448
"47,794",97447
"46,597",97446
"56,813",97444
"62,222",97443
"47,518",97442
"44,904",97441
"52,194",97439
"60,000",97438
"71,554",97437
"56,250",97436
"54,583",97435
"36,806",97434
"55,150",97431
"46,458",97430
"44,375",97429
"62,845",97426
"54,104",97424
"41,818",97423
"52,447",97420
"45,893",97419
"35,211",97417
"54,750",97416
"54,842",97415
-,97414
"54,172",97413
"57,000",97412
"38,054",97411
"43,833",97410
"70,931",97408
"18,658",97406
"72,425",97405
"66,731",97404
"44,540",97403
"46,504",97402
"41,502",97401
"45,163",97396
"49,559",97394
"92,568",97392
"49,265",97391
"60,846",97390
"70,688",97389
"59,150",97388
"52,333",97386
"81,359",97385
-,97384
"63,610",97383
"76,026",97381
"53,523",97380
"62,595",97378
"73,125",97377
"54,226",97376
"71,422",97375
"70,362",97374
-,97373
-,97371
"85,000",97370
"53,194",97369
"43,594",97368
"46,563",97367
"70,497",97366
"49,529",97365
"87,613",97364
"63,372",97362
"56,058",97361
"52,075",97360
"68,704",97358
"53,333",97357
"54,799",97355
"73,850",97352
"55,772",97351
"65,625",97350
"81,219",97348
"39,214",97347
"71,250",97346
"34,219",97345
"43,385",97344
-,97343
"54,375",97342
"48,250",97341
"61,745",97338
"56,466",97333
-,97331
"59,600",97330
-,97329
"69,637",97327
"65,139",97326
"64,387",97325
"57,500",97324
"60,148",97322
"76,107",97321
"70,838",97317
"71,775",97306
"56,787",97305
"74,583",97304
"64,369",97303
"67,270",97302
"45,959",97301
"70,170",97267
"59,062",97266
"93,594",97239
"52,428",97236
"46,433",97233
"59,109",97232
"101,850",97231
"58,276",97230
"123,522",97229
"75,805",97227
"91,786",97225
"80,419",97224
"90,883",97223
"64,905",97222
"124,983",97221
"56,040",97220
"104,392",97219
"67,436",97218
"88,017",97217
"55,795",97216
"85,368",97215
"74,871",97214
"80,916",97213
"108,305",97212
"86,976",97211
"79,097",97210
"65,746",97209
-,97208
"72,463",97206
"41,940",97205
-,97204
"67,229",97203
"86,351",97202
"58,850",97201
"76,055",97149
"98,320",97148
"43,125",97147
"76,750",97146
"96,848",97145
"88,352",97144
"54,424",97141
"108,865",97140
"47,575",97138
"95,938",97137
"52,083",97136
"67,750",97135
-,97134
"105,938",97133
"80,541",97132
"59,063",97131
"55,757",97130
"54,983",97128
"77,662",97127
"168,750",97125
"95,068",97124
"84,052",97123
"63,958",97122
"51,691",97121
"101,314",97119
"48,750",97118
"79,821",97117
"71,397",97116
"81,747",97115
"70,256",97114
"73,365",97113
"42,740",97112
"79,722",97111
"51,699",97110
"85,000",97109
"53,897",97108
"62,759",97107
"106,250",97106
"58,426",97103
"101,713",97102
"82,826",97101
"98,031",97089
"91,343",97086
"78,579",97080
"55,279",97071
"73,998",97070
"125,898",97068
"59,293",97067
"50,063",97065
"56,094",97064
"46,987",97063
"95,482",97062
"77,535",97060
"54,133",97058
-,97057
"77,784",97056
"82,456",97055
"59,729",97054
"95,260",97053
"65,710",97051
"51,875",97050
"76,858",97049
"61,031",97048
"83,254",97045
"75,378",97042
"56,875",97041
"77,961",97040
"58,500",97039
"72,432",97038
"42,596",97037
"103,299",97035
"129,435",97034
-,97033
"76,725",97032
"76,434",97031
"53,700",97030
"52,232",97029
"63,807",97028
"70,677",97027
"70,329",97026
"60,434",97024
"62,073",97023
"83,664",97022
"64,861",97021
"73,125",97020
"87,760",97019
"82,137",97018
"67,969",97017
"52,807",97016
"77,720",97015
"52,632",97014
"77,002",97013
"71,000",97011
"79,599",97009
"74,082",97008
"87,360",97007
"83,955",97006
"56,821",97005
"93,388",97004
"73,462",97002
-,97001
"16,635",89421
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
